fid,osm_id,structural_openness,number_of_floors,vegetation,material_rooftop,material_wall
1802,363127402,closed_structure,one,yes,metal,concrete
1806,363127445,closed_structure,one,yes,metal,concrete
1808,363127462,closed_structure,one,yes,metal,concrete
1811,363127505,closed_structure,one,yes,metal,concrete
1812,363127510,unclear,one,yes,metal,concrete
1814,363127523,partial,one,yes,metal,metal
1819,363127575,closed_structure,one,yes,metal,concrete
1821,363127596,closed_structure,one,yes,metal,concrete
1822,363127597,closed_structure,one,yes,metal,concrete
1825,363127619,closed_structure,one,yes,metal,concrete
1826,363127629,closed_structure,one,yes,metal,concrete
1827,363127636,closed_structure,one,yes,metal,metal
1839,363129466,unclear,one,yes,metal,metal
1842,363132147,closed_structure,one,yes,metal,concrete
1845,363132177,closed_structure,one,yes,metal,concrete
1847,363264810,unclear,one,yes,metal,metal
1851,363276874,closed_structure,one,yes,metal,concrete
1855,363276908,closed_structure,one,yes,metal,concrete
1857,363279977,closed_structure,one,yes,metal,concrete
1860,363280029,closed_structure,one,yes,shingles,concrete
1864,363280065,closed_structure,one,yes,metal,concrete
1865,363280073,closed_structure,one,yes,metal,concrete
1866,363280077,closed_structure,one,yes,metal,concrete
1867,363280080,closed_structure,one,yes,metal,concrete
1868,363280090,closed_structure,one,yes,metal,brick
1873,363280119,closed_structure,one,yes,metal,brick
1875,363282111,closed_structure,one,yes,metal,concrete
1877,363284432,closed_structure,one,yes,metal,concrete
1878,363284434,closed_structure,one,yes,metal,concrete
1883,363284445,closed_structure,one,yes,metal,concrete
1888,363285180,closed_structure,one,yes,metal,concrete
1889,363285759,closed_structure,one,yes,metal,concrete
1893,363287107,closed_structure,one,yes,metal,concrete
1897,363287209,closed_structure,one,yes,metal,concrete
1898,363287226,closed_structure,one,yes,metal,concrete
1899,363287243,closed_structure,one,yes,unclear,concrete
1900,363287246,closed_structure,one,yes,metal,concrete
1904,363287350,closed_structure,one,yes,metal,concrete
1907,363287369,closed_structure,one,yes,metal,concrete
1910,363287407,closed_structure,one,yes,metal,concrete
1912,363287446,closed_structure,one,yes,metal,concrete
1914,363287462,closed_structure,one,yes,metal,concrete
1915,363296081,closed_structure,one,yes,metal,concrete
1916,363296088,closed_structure,one,yes,metal,concrete
1917,363296107,closed_structure,one,yes,metal,concrete
1919,363303211,closed_structure,four_plus,yes,metal,concrete
1923,363303266,closed_structure,one,no,metal,concrete
1929,363303289,partial,one,yes,metal,concrete
1933,363303314,closed_structure,one,no,metal,concrete
1934,363307465,closed_structure,one,no,metal,concrete
1936,363718459,closed_structure,one,yes,metal,concrete
1942,364294687,closed_structure,one,yes,metal,concrete
1948,364315340,closed_structure,one,yes,metal,concrete
1950,364338744,closed_structure,one,yes,metal,concrete
1952,364338797,closed_structure,one,yes,metal,concrete
1953,364338806,closed_structure,one,yes,metal,concrete
1962,364458709,closed_structure,one,yes,metal,concrete
1971,364458942,closed_structure,one,yes,metal,concrete
1982,364459340,closed_structure,one,yes,metal,concrete
1984,364460170,closed_structure,one,yes,metal,concrete
1985,364460825,closed_structure,one,yes,metal,concrete
1986,364460826,closed_structure,one,yes,metal,concrete
1987,364465374,closed_structure,one,yes,metal,concrete
1990,364465391,closed_structure,one,yes,metal,concrete
1997,364465405,closed_structure,one,yes,metal,concrete
1998,364465406,closed_structure,one,yes,metal,concrete
2004,364467255,closed_structure,one,yes,metal,concrete
2006,364467279,closed_structure,one,yes,metal,concrete
2007,364467296,closed_structure,one,yes,metal,concrete
2010,364468029,closed_structure,one,yes,metal,concrete
2015,364468051,closed_structure,one,yes,metal,concrete
2016,364468052,unclear,one,yes,metal,metal
2017,364468054,unclear,one,yes,unclear,metal
2019,364469687,closed_structure,one,yes,metal,concrete
2031,364470491,unclear,one,yes,unclear,metal
2034,364471038,closed_structure,one,yes,metal,concrete
2036,364471050,closed_structure,one,yes,metal,concrete
2044,364475721,closed_structure,one,yes,metal,concrete
2047,364479843,closed_structure,one,yes,metal,concrete
2048,364479844,closed_structure,one,yes,metal,concrete
2053,364488896,closed_structure,one,yes,metal,concrete
2055,364489008,closed_structure,one,yes,metal,concrete
2057,364493311,closed_structure,one,yes,metal,concrete
2066,364493401,closed_structure,one,yes,metal,concrete
2068,364493414,closed_structure,one,yes,unclear,concrete
2070,364493437,closed_structure,one,yes,metal,concrete
2074,364493452,closed_structure,one,yes,metal,concrete
2076,364493470,closed_structure,one,yes,metal,concrete
2077,364493471,closed_structure,one,yes,metal,concrete
2081,364493490,closed_structure,one,yes,metal,concrete
2084,364493500,closed_structure,one,yes,metal,concrete
2085,364493520,unclear,unclear,yes,metal,unclear
2087,364493533,closed_structure,one,yes,metal,concrete
2092,364499571,closed_structure,one,yes,metal,concrete
2093,364501448,closed_structure,one,yes,metal,concrete
2097,364503979,closed_structure,one,yes,metal,concrete
2100,364506415,closed_structure,one,yes,metal,concrete
2104,364509954,closed_structure,one,yes,metal,concrete
2105,364509955,unclear,unclear,yes,metal,unclear
2106,364509958,closed_structure,one,yes,metal,concrete
2107,364509959,closed_structure,one,yes,metal,concrete
2111,364511435,unclear,unclear,yes,shingles,unclear
2117,364514172,closed_structure,one,yes,metal,concrete
2119,364515122,closed_structure,four_plus,yes,concrete,concrete
2122,364516887,closed_structure,one,yes,shingles,concrete
2123,364517580,closed_structure,one,yes,metal,concrete
2124,364522662,closed_structure,one,yes,metal,concrete
2127,364525558,closed_structure,one,yes,shingles,concrete
2131,364525612,closed_structure,one,yes,metal,concrete
2134,364525979,closed_structure,one,yes,metal,concrete
2139,364530022,unclear,one,yes,unclear,metal
2145,364532083,closed_structure,one,yes,metal,brick
2154,364676761,closed_structure,one,yes,metal,concrete
2155,364676901,closed_structure,one,yes,metal,concrete
2156,364676903,closed_structure,one,yes,metal,concrete
2161,364677433,closed_structure,one,yes,metal,concrete
2162,364677434,closed_structure,one,yes,metal,concrete
2164,364677740,closed_structure,one,yes,metal,concrete
2165,364677741,closed_structure,one,yes,metal,concrete
2166,364677742,closed_structure,one,yes,metal,concrete
2167,364677744,closed_structure,one,yes,metal,concrete
2169,364677746,closed_structure,one,yes,metal,concrete
2170,364677747,closed_structure,one,yes,metal,concrete
2171,364677748,closed_structure,one,yes,metal,concrete
2172,364681119,closed_structure,one,yes,metal,concrete
2173,364681127,unclear,unclear,yes,metal,unclear
2183,364687617,closed_structure,one,yes,metal,concrete
2188,364692602,closed_structure,one,yes,metal,concrete
2193,364726120,closed_structure,one,yes,metal,concrete
2194,364726300,closed_structure,one,yes,metal,concrete
2201,364726892,closed_structure,one,yes,metal,concrete
2203,364783436,closed_structure,one,yes,metal,brick
2213,364797187,closed_structure,one,yes,metal,concrete
2215,364799289,closed_structure,one,no,metal,concrete
2220,364803788,closed_structure,one,yes,metal,concrete
2222,364804002,closed_structure,one,yes,metal,concrete
2224,364804120,closed_structure,one,yes,metal,concrete
2235,364814369,closed_structure,one,yes,metal,concrete
2239,364815565,closed_structure,one,yes,metal,concrete
2241,364815715,closed_structure,one,yes,metal,concrete
2242,364816688,closed_structure,one,no,metal,concrete
2243,364816983,closed_structure,one,yes,metal,concrete
2249,365260713,closed_structure,one,yes,metal,concrete
2250,365265793,closed_structure,one,yes,metal,concrete
2255,365276286,closed_structure,three,yes,metal,metal
2256,365276289,closed_structure,one,yes,shingles,concrete
2257,365276291,closed_structure,one,yes,metal,concrete
2258,365276320,closed_structure,one,yes,metal,concrete
2260,365276375,closed_structure,one,yes,metal,concrete
2263,365276482,closed_structure,one,yes,metal,concrete
2265,365277675,closed_structure,one,yes,metal,concrete
2266,365277685,closed_structure,one,yes,metal,concrete
2270,365277728,closed_structure,one,yes,metal,concrete
2276,365288192,closed_structure,one,yes,metal,concrete
2280,365312488,closed_structure,one,yes,metal,concrete
2284,365518430,closed_structure,one,yes,metal,concrete
2285,365644513,closed_structure,one,yes,metal,concrete
2287,365648097,closed_structure,one,yes,metal,concrete
2289,365648445,closed_structure,one,yes,metal,concrete
2294,365651767,closed_structure,two,yes,shingles,concrete
2297,365651804,closed_structure,one,yes,metal,concrete
2300,365652490,closed_structure,one,yes,metal,concrete
2311,365663726,closed_structure,one,yes,metal,concrete
2315,365663742,closed_structure,one,yes,metal,concrete
2323,365663803,closed_structure,one,yes,shingles,concrete
2324,365663817,closed_structure,one,yes,metal,concrete
2327,365663874,closed_structure,one,yes,metal,concrete
2328,365663881,closed_structure,one,yes,metal,concrete
2329,365663904,closed_structure,one,yes,metal,concrete
2333,365663951,closed_structure,one,yes,metal,concrete
2334,365663955,closed_structure,one,yes,metal,concrete
2336,365663976,closed_structure,one,yes,metal,concrete
2337,365663990,closed_structure,one,yes,metal,concrete
2339,365666750,closed_structure,one,yes,metal,concrete
2340,365666770,closed_structure,one,yes,metal,concrete
2347,365668603,closed_structure,one,yes,metal,concrete
2348,365671512,closed_structure,one,yes,metal,concrete
2349,365672053,closed_structure,one,yes,metal,concrete
2351,365674897,closed_structure,one,yes,metal,concrete
2352,365677867,closed_structure,one,yes,metal,concrete
2355,366456480,closed_structure,one,yes,metal,concrete
2358,366637018,partial,one,yes,metal,metal
2362,366639273,closed_structure,one,yes,metal,concrete
2367,366640749,closed_structure,one,yes,metal,concrete
2383,366662840,closed_structure,one,yes,metal,concrete
2393,366794034,closed_structure,one,yes,metal,metal
2397,366798794,closed_structure,one,yes,metal,concrete
2399,366858566,closed_structure,one,yes,metal,concrete
2400,367388401,closed_structure,one,yes,shingles,concrete
2402,367466568,closed_structure,two,yes,shingles,concrete
2403,367567156,closed_structure,one,yes,metal,concrete
2404,367567162,closed_structure,one,yes,metal,concrete
2405,367567165,closed_structure,one,yes,metal,concrete
2407,367573802,closed_structure,one,yes,metal,metal
2408,367573805,closed_structure,one,yes,unclear,concrete
2409,367576525,closed_structure,one,yes,shingles,concrete
2410,367576526,closed_structure,one,yes,metal,concrete
2412,367576530,unclear,one,yes,unclear,concrete
2419,367583126,closed_structure,one,yes,shingles,concrete
2422,367585598,closed_structure,one,yes,unclear,concrete
2425,367594176,closed_structure,one,yes,metal,concrete
2429,5477179,closed_structure,one,no,metal,concrete
2430,6905456,closed_structure,one,no,metal,concrete
2431,368975379,closed_structure,one,yes,metal,concrete
2433,371699435,closed_structure,one,yes,metal,concrete
2438,371717584,unclear,one,yes,unclear,concrete
2441,371719019,closed_structure,one,yes,metal,concrete
2442,371719025,closed_structure,one,yes,metal,concrete
2443,371719056,closed_structure,one,yes,metal,concrete
2444,371719063,closed_structure,one,yes,metal,concrete
2450,371721745,closed_structure,one,yes,metal,concrete
2453,371722462,closed_structure,one,yes,metal,metal
2455,371725958,closed_structure,one,yes,metal,concrete
2462,371727192,closed_structure,one,yes,metal,concrete
2463,371727212,closed_structure,one,yes,metal,concrete
2466,371727252,closed_structure,one,yes,metal,concrete
2469,371727296,closed_structure,one,yes,metal,concrete
2470,371727307,closed_structure,one,yes,metal,concrete
2472,372029874,closed_structure,one,yes,metal,metal
2474,372309379,closed_structure,one,yes,metal,metal
2481,372309436,closed_structure,one,yes,metal,metal
2485,372591820,closed_structure,one,yes,metal,concrete
2490,372591842,closed_structure,one,yes,metal,concrete
2492,372591859,closed_structure,one,yes,metal,concrete
2494,372591872,closed_structure,one,yes,metal,concrete
2496,372591885,closed_structure,one,yes,metal,metal
2499,372591891,closed_structure,two,yes,metal,concrete
2500,372591892,closed_structure,one,yes,metal,concrete
2501,372591901,closed_structure,one,yes,metal,concrete
2504,372591907,closed_structure,one,yes,metal,concrete
2505,372591916,closed_structure,one,yes,metal,concrete
2507,372591926,closed_structure,one,yes,metal,concrete
2510,372591933,closed_structure,one,yes,metal,concrete
2518,375055551,unclear,one,yes,shingles,unclear
2519,375055556,closed_structure,one,yes,metal,concrete
2520,375055557,closed_structure,one,yes,metal,concrete
2522,375056465,closed_structure,one,yes,metal,concrete
2527,375060837,closed_structure,one,yes,metal,concrete
2529,375060840,closed_structure,one,yes,shingles,concrete
2530,375060841,closed_structure,one,yes,shingles,concrete
2532,375060845,closed_structure,one,yes,metal,concrete
2537,375061720,closed_structure,one,yes,metal,concrete
2544,375061807,closed_structure,one,yes,shingles,concrete
2545,375063883,closed_structure,one,yes,metal,concrete
2546,375064647,closed_structure,one,yes,metal,concrete
2547,375066048,closed_structure,one,yes,metal,concrete
2548,375066317,closed_structure,one,yes,shingles,concrete
2549,375066807,closed_structure,one,yes,metal,concrete
2553,375072833,closed_structure,one,yes,metal,concrete
2555,375078063,closed_structure,four_plus,yes,concrete,concrete
2559,375208821,closed_structure,one,yes,metal,concrete
2560,375520134,closed_structure,one,yes,metal,concrete
2561,375520195,closed_structure,one,yes,metal,concrete
2568,375905299,closed_structure,one,yes,metal,concrete
2575,375918742,closed_structure,one,yes,shingles,concrete
2579,376065611,closed_structure,one,yes,metal,metal
2580,376066816,closed_structure,two,yes,concrete,concrete
2585,376238317,closed_structure,one,yes,concrete,concrete
2597,376349923,closed_structure,one,yes,metal,concrete
2600,376497860,closed_structure,one,yes,metal,concrete
2601,376498123,closed_structure,one,yes,metal,concrete
2602,381440061,closed_structure,one,yes,metal,concrete
2609,466651284,closed_structure,one,yes,metal,concrete
2613,522005929,closed_structure,one,yes,metal,concrete
2616,523638383,closed_structure,one,yes,metal,concrete
2619,524396576,unclear,one,yes,unclear,concrete
2629,8636245,closed_structure,one,no,metal,concrete
2630,8636577,closed_structure,one,yes,metal,concrete
2633,626391731,closed_structure,one,yes,shingles,concrete
2638,8893690,closed_structure,one,no,metal,concrete
2640,683935160,closed_structure,one,yes,metal,concrete
2643,688670982,closed_structure,one,yes,metal,concrete
2645,688671017,closed_structure,one,yes,metal,concrete
2646,688671018,closed_structure,one,yes,metal,concrete
2649,688671415,closed_structure,one,yes,metal,concrete
2650,688671419,closed_structure,one,yes,shingles,concrete
2653,688671516,closed_structure,one,yes,metal,concrete
2657,688671527,closed_structure,one,yes,metal,concrete
2658,688671530,closed_structure,one,yes,metal,concrete
2660,689632444,closed_structure,one,yes,metal,concrete
2664,1002698153,closed_structure,one,yes,metal,concrete
2666,1002698164,closed_structure,one,yes,metal,concrete
2668,1002698173,closed_structure,one,yes,metal,concrete
2671,1002698206,closed_structure,one,yes,shingles,concrete
2672,1002698217,closed_structure,one,yes,metal,concrete
2673,1002698220,closed_structure,one,yes,metal,concrete
2676,1002698224,closed_structure,one,yes,metal,concrete
2678,1002698236,closed_structure,one,yes,metal,concrete
2680,1002698248,closed_structure,one,yes,metal,concrete
2684,1002698260,closed_structure,one,yes,metal,concrete
2686,1002698264,closed_structure,one,yes,metal,concrete
2687,1002698269,closed_structure,one,yes,shingles,concrete
2688,1002698270,closed_structure,one,yes,shingles,concrete
2689,1002698275,closed_structure,one,yes,shingles,concrete
2692,1002698286,closed_structure,one,yes,metal,concrete
2696,1002698307,closed_structure,one,yes,metal,concrete
2697,1002698309,closed_structure,one,yes,shingles,concrete
2698,1002698317,closed_structure,one,yes,metal,concrete
2700,1002698322,closed_structure,one,yes,metal,concrete
2704,1002698327,closed_structure,one,yes,metal,concrete
2705,1002698329,closed_structure,one,no,metal,concrete
2710,1002698344,closed_structure,one,yes,metal,concrete
2712,1002698350,closed_structure,one,yes,metal,concrete
2713,1002698351,closed_structure,one,yes,metal,concrete
2716,1002698357,closed_structure,one,yes,metal,concrete
2720,1002698364,closed_structure,one,yes,metal,concrete
2721,1002698366,closed_structure,one,yes,metal,concrete
2723,1002698383,closed_structure,one,yes,metal,concrete
2724,1002698387,closed_structure,one,yes,metal,concrete
2726,1002698393,closed_structure,one,yes,metal,concrete
2728,1002698398,closed_structure,one,yes,metal,concrete
2729,1002698399,unclear,unclear,yes,metal,unclear
2730,1002698400,closed_structure,one,yes,metal,concrete
2732,1002698407,closed_structure,one,yes,unclear,concrete
2735,1002698421,closed_structure,one,yes,metal,concrete
2736,1002698426,closed_structure,one,yes,metal,concrete
2737,1002698438,closed_structure,one,yes,shingles,concrete
2738,1002698441,closed_structure,one,yes,metal,concrete
2740,1002698459,closed_structure,one,yes,metal,concrete
2742,1002698463,closed_structure,one,yes,metal,concrete
2743,1002698465,closed_structure,one,yes,metal,concrete
2748,1002698482,closed_structure,one,yes,shingles,concrete
2753,1002698501,closed_structure,one,yes,metal,concrete
2756,1002698506,closed_structure,one,yes,metal,concrete
2759,1002698522,closed_structure,one,yes,metal,concrete
2763,1002698532,closed_structure,one,yes,metal,concrete
2768,1002698541,closed_structure,one,yes,metal,concrete
2771,1002698549,closed_structure,one,yes,metal,concrete
2772,1002698554,closed_structure,one,yes,metal,concrete
2775,1002698577,unclear,one,yes,metal,metal
2779,1002698604,closed_structure,one,yes,metal,metal
2785,1002698618,closed_structure,one,yes,metal,concrete
2786,1002698621,closed_structure,one,yes,metal,concrete
2790,1002698640,closed_structure,one,yes,shingles,concrete
2796,1002698651,closed_structure,one,yes,metal,concrete
2797,1002698656,closed_structure,unclear,yes,shingles,unclear
2799,1002698659,closed_structure,unclear,yes,shingles,concrete
2810,1002698709,closed_structure,one,yes,shingles,concrete
2814,1002698733,closed_structure,one,yes,metal,concrete
2815,1002698736,closed_structure,one,yes,metal,concrete
2817,1002698751,closed_structure,one,yes,shingles,concrete
2819,1002698754,closed_structure,one,yes,metal,concrete
2822,1002698769,closed_structure,one,yes,metal,concrete
2824,1002698782,closed_structure,four_plus,yes,shingles,concrete
2826,1002698787,closed_structure,one,yes,metal,concrete
2834,1002698805,closed_structure,one,yes,metal,concrete
2840,1002698822,closed_structure,one,yes,metal,concrete
2842,1002698833,closed_structure,one,yes,metal,concrete
2846,1002698840,closed_structure,one,yes,metal,concrete
2847,1002698841,unclear,unclear,yes,metal,unclear
2849,1002698847,closed_structure,one,yes,metal,concrete
2854,1002698862,closed_structure,four_plus,yes,shingles,concrete
2855,1002698870,closed_structure,one,yes,metal,concrete
2857,1002698883,closed_structure,one,yes,metal,concrete
2861,1002698900,closed_structure,one,yes,metal,concrete
2864,1002698922,closed_structure,one,yes,metal,concrete
2868,1002698940,partial,unclear,yes,shingles,unclear
2870,1002698949,closed_structure,one,yes,metal,concrete
2873,1002698969,closed_structure,one,yes,metal,concrete
2874,1002698971,closed_structure,one,yes,metal,concrete
2875,1002698972,closed_structure,one,yes,metal,concrete
2876,1002698974,closed_structure,one,yes,metal,concrete
2879,1002698979,closed_structure,three,yes,metal,concrete
2882,1002698993,closed_structure,one,yes,metal,concrete
2884,1002698996,closed_structure,one,yes,metal,concrete
2887,1002699004,closed_structure,one,no,metal,concrete
2892,1002699014,closed_structure,one,yes,metal,concrete
2896,1002699040,unclear,one,yes,metal,metal
2899,1002699044,closed_structure,one,yes,metal,concrete
2903,1002699054,partial,one,yes,unclear,unclear
2909,1002699096,closed_structure,one,yes,metal,concrete
2918,1002699125,closed_structure,one,yes,shingles,concrete
2921,1002699134,closed_structure,one,yes,metal,concrete
2922,1002699136,closed_structure,one,yes,shingles,concrete
2923,1002699137,closed_structure,one,yes,metal,concrete
2934,1002699196,closed_structure,one,yes,metal,concrete
2937,1002699215,closed_structure,one,yes,metal,concrete
2938,1002699217,closed_structure,one,yes,metal,concrete
2939,1002699219,closed_structure,one,yes,shingles,concrete
2947,1002699247,closed_structure,one,yes,unclear,concrete
2948,1002699249,closed_structure,one,yes,shingles,concrete
2949,1002699255,unclear,one,yes,metal,metal
2952,1002699276,closed_structure,one,yes,metal,concrete
2953,1002699279,closed_structure,one,yes,metal,concrete
2956,1002699300,closed_structure,one,yes,shingles,concrete
2958,1002699304,closed_structure,two,yes,shingles,concrete
2961,1002699322,closed_structure,three,yes,metal,concrete
2963,1002699326,unclear,unclear,yes,metal,unclear
2965,1002699335,closed_structure,one,yes,metal,concrete
2966,1002699339,closed_structure,one,yes,metal,concrete
2968,1002699347,closed_structure,one,yes,metal,concrete
2971,1002699359,closed_structure,two,yes,shingles,concrete
2975,1002699365,closed_structure,one,yes,metal,concrete
2977,1002699368,closed_structure,one,yes,metal,concrete
2981,1002699376,closed_structure,one,yes,metal,concrete
2982,1002699379,closed_structure,one,yes,metal,concrete
2985,1002699400,closed_structure,one,yes,shingles,concrete
2986,1002699405,closed_structure,unclear,yes,metal,concrete
2992,1002699422,closed_structure,one,yes,metal,concrete
2993,1002699423,unclear,unclear,yes,metal,unclear
2996,1002699433,closed_structure,one,yes,metal,concrete
2998,1002699435,closed_structure,one,yes,metal,concrete
2999,1002699438,closed_structure,one,yes,metal,concrete
3002,1002699448,partial,one,yes,metal,concrete
3003,1002699449,unclear,one,yes,metal,concrete
3004,1002699454,closed_structure,one,no,metal,concrete
3006,1002699460,closed_structure,one,yes,metal,concrete
3007,1002699465,closed_structure,one,yes,metal,concrete
3008,1002699468,closed_structure,one,yes,metal,concrete
3009,1002699469,closed_structure,one,yes,unclear,metal
3013,1002699511,closed_structure,one,yes,metal,concrete
3018,1002699529,closed_structure,one,yes,metal,concrete
3022,1002699550,closed_structure,one,yes,metal,concrete
3027,1002699559,closed_structure,one,yes,shingles,concrete
3028,1002699561,closed_structure,one,yes,metal,concrete
3030,1002699567,unclear,unclear,yes,shingles,unclear
3035,1002699580,closed_structure,one,yes,metal,concrete
3037,1002699583,closed_structure,one,yes,metal,concrete
3038,1002699586,closed_structure,one,yes,metal,concrete
3039,1002699589,closed_structure,one,yes,shingles,concrete
3041,1002699597,closed_structure,one,yes,metal,concrete
3057,1002699650,closed_structure,one,yes,metal,concrete
3062,1002699666,closed_structure,one,yes,metal,concrete
3065,1002699677,closed_structure,one,yes,metal,concrete
3066,1002699683,closed_structure,one,yes,metal,concrete
3067,1002699688,closed_structure,one,yes,metal,concrete
3071,1002699698,closed_structure,one,yes,metal,concrete
3077,1002699731,closed_structure,one,yes,metal,concrete
3084,1002699746,closed_structure,one,yes,metal,concrete
3090,1002699785,closed_structure,one,yes,metal,concrete
3091,1002699787,closed_structure,one,yes,metal,concrete
3092,1002699793,closed_structure,one,yes,metal,concrete
3093,1002699810,closed_structure,one,yes,metal,concrete
3094,1002699814,closed_structure,one,yes,metal,concrete
3095,1002699818,closed_structure,two,yes,shingles,concrete
3102,1002699830,closed_structure,two,yes,shingles,concrete
3103,1002699839,closed_structure,one,yes,shingles,concrete
3104,1002699842,closed_structure,one,yes,metal,concrete
3105,1002699843,closed_structure,one,yes,metal,concrete
3110,1002699880,partial,one,yes,metal,concrete
3116,1002699894,closed_structure,one,no,shingles,concrete
3123,1002699922,closed_structure,one,yes,metal,concrete
3124,1002699928,closed_structure,one,yes,metal,concrete
3125,1002699929,closed_structure,one,yes,shingles,concrete
3131,1002699967,closed_structure,one,yes,metal,concrete
3132,1002699969,closed_structure,one,yes,shingles,concrete
3139,1002699994,closed_structure,one,no,metal,concrete
3141,1002700004,closed_structure,one,yes,metal,concrete
3142,1002700008,closed_structure,one,yes,metal,concrete
3144,1002700015,closed_structure,one,yes,metal,concrete
3147,1002700028,closed_structure,three,yes,metal,concrete
3150,1002700034,closed_structure,one,yes,metal,concrete
3156,1002700051,closed_structure,one,yes,metal,concrete
3157,1002700055,closed_structure,one,yes,metal,concrete
3158,1002700060,closed_structure,one,yes,metal,concrete
3159,1002700061,closed_structure,one,yes,metal,concrete
3160,1002700064,closed_structure,one,yes,metal,concrete
3166,1002700092,closed_structure,one,yes,metal,concrete
3172,1002700121,closed_structure,one,yes,metal,concrete
3173,1002700128,closed_structure,one,yes,metal,concrete
3176,1002700148,closed_structure,one,yes,metal,concrete
3177,1002700151,closed_structure,one,yes,metal,concrete
3180,1002700168,closed_structure,one,yes,metal,concrete
3181,1002700172,closed_structure,one,yes,metal,concrete
3188,1002700192,closed_structure,one,yes,metal,concrete
3190,1002700202,partial,one,yes,metal,concrete
3193,1002700208,unclear,one,yes,metal,concrete
3196,1002700224,closed_structure,one,yes,metal,concrete
3197,1002700229,closed_structure,one,yes,metal,concrete
3198,1002700231,closed_structure,one,yes,metal,concrete
3200,1002700235,closed_structure,one,yes,metal,concrete
3203,1002700244,unclear,one,yes,unclear,metal
3205,1002700247,closed_structure,one,yes,metal,concrete
3206,1002700248,closed_structure,one,yes,metal,concrete
3207,1002700249,closed_structure,one,yes,metal,concrete
3208,1002700251,closed_structure,one,yes,metal,concrete
3216,1002700299,closed_structure,one,yes,unclear,concrete
3217,1002700303,closed_structure,one,yes,metal,concrete
3224,1002700323,closed_structure,one,yes,metal,concrete
3231,1002700342,closed_structure,one,yes,metal,concrete
3232,1002700344,closed_structure,one,yes,metal,concrete
3237,1002700357,closed_structure,one,yes,metal,concrete
3240,1002700365,closed_structure,one,yes,metal,concrete
3244,1002700376,closed_structure,three,yes,metal,concrete
3246,1002700385,closed_structure,one,yes,metal,concrete
3247,1002700387,closed_structure,one,yes,metal,concrete
3254,1002700414,closed_structure,one,yes,metal,concrete
3258,1002700440,closed_structure,one,yes,metal,concrete
3263,1002700451,closed_structure,one,yes,metal,concrete
3264,1002700455,unclear,unclear,yes,shingles,unclear
3269,1002700486,closed_structure,one,yes,metal,concrete
3279,1002700519,closed_structure,one,yes,metal,concrete
3285,1002700544,closed_structure,one,yes,metal,concrete
3287,1002700551,closed_structure,one,yes,metal,concrete
3289,1002700556,closed_structure,one,yes,metal,concrete
3290,1002700557,closed_structure,one,yes,metal,concrete
3291,1002700558,closed_structure,one,yes,metal,concrete
3293,1003542979,closed_structure,one,yes,metal,concrete
3294,1003542983,closed_structure,one,yes,metal,concrete
3298,1003543038,closed_structure,one,yes,metal,concrete
3300,1003543123,closed_structure,one,yes,metal,concrete
3301,1003543142,closed_structure,one,yes,metal,concrete
3304,1003543185,closed_structure,one,yes,metal,concrete
3305,1003543198,closed_structure,one,yes,metal,concrete
3308,1003543243,closed_structure,one,yes,metal,concrete
3314,1003543257,closed_structure,one,yes,metal,concrete
3321,1003543277,closed_structure,one,yes,metal,concrete
3323,1003543283,closed_structure,four_plus,yes,metal,concrete
3324,1003543284,closed_structure,one,yes,metal,concrete
3325,1003543291,closed_structure,one,yes,metal,concrete
3333,1003543326,closed_structure,one,yes,metal,concrete
3334,1003543331,closed_structure,one,yes,metal,concrete
3338,1003543356,closed_structure,one,yes,metal,concrete
3339,1003543357,partial,one,yes,metal,concrete
3341,1003543363,closed_structure,one,yes,metal,concrete
3346,1003543398,closed_structure,one,yes,metal,concrete
3351,1003543415,closed_structure,one,yes,metal,concrete
3355,1003543434,closed_structure,one,yes,metal,concrete
3357,1003543445,closed_structure,one,yes,metal,concrete
3358,1003543449,closed_structure,one,yes,metal,concrete
3365,1003543470,closed_structure,one,yes,metal,concrete
3368,1003543490,closed_structure,one,yes,shingles,concrete
3369,1003543491,closed_structure,one,yes,shingles,concrete
3370,1003543492,closed_structure,one,yes,shingles,concrete
3371,1003543493,closed_structure,one,yes,metal,concrete
3373,1003543495,closed_structure,one,yes,metal,concrete
3376,1003543506,closed_structure,one,yes,concrete,metal
3377,1003543509,closed_structure,one,yes,shingles,concrete
3381,1003543525,closed_structure,one,yes,metal,concrete
3383,1003543537,closed_structure,one,yes,metal,concrete
3392,1003543574,closed_structure,one,yes,metal,concrete
3393,1003543578,closed_structure,one,yes,metal,concrete
3394,1003543579,closed_structure,one,yes,metal,concrete
3396,1003543583,closed_structure,one,yes,metal,concrete
3398,1003543592,closed_structure,one,yes,shingles,concrete
3400,1003543595,unclear,one,yes,metal,concrete
3401,1003543598,closed_structure,one,yes,metal,concrete
3402,1003543602,closed_structure,one,yes,metal,concrete
3405,1003543608,closed_structure,one,yes,metal,concrete
3407,1003543610,closed_structure,one,yes,metal,concrete
3408,1003543627,closed_structure,one,yes,metal,concrete
3409,1003543628,closed_structure,one,yes,metal,concrete
3411,1003543632,closed_structure,one,yes,metal,concrete
3413,1003543639,closed_structure,one,yes,metal,concrete
3417,1003543655,closed_structure,one,yes,metal,concrete
3418,1003543656,closed_structure,one,yes,metal,concrete
3419,1003543661,closed_structure,one,yes,metal,concrete
